2014-04-11	148.41
2014-04-12	152.94
2014-04-13	152.94
2014-04-14	154.91
2014-04-15	164.35
2014-04-16	162.93
2014-04-17	164.35
2014-04-18	164.35
2014-04-19	162.93
2014-04-20	161.5
2014-04-21	161.5
2014-04-22	168.56
2014-04-23	170.3
2014-04-24	170.84
2014-04-25	175.0
2014-04-26	175.5
2014-04-27	175.5
2014-04-28	175.99
2014-04-29	176.08
2014-04-30	175.0
2014-05-01	175.0
2014-05-02	173.5
2014-05-03	171.99
2014-05-04	173.5
2014-05-05	175.0
2014-05-06	173.12
2014-05-07	170.79
2014-05-08	169.97
2014-05-09	169.97
2014-05-11	169.95
2014-05-12	167.99
2014-05-13	169.98
2014-05-14	169.97
2014-05-15	169.97
2014-05-16	169.99
2014-05-17	169.98
2014-05-18	169.98
2014-05-20	170.49
2014-05-21	169.99
2014-05-22	170.49
2014-05-23	169.39
2014-05-24	169.47
2014-05-25	168.81
2014-05-26	168.81
2014-05-27	168.84
2014-05-28	169.74
2014-05-29	168.69
2014-05-30	169.23
2014-05-31	169.95
2014-06-01	169.97
2014-06-02	169.59
2014-06-03	168.15
2014-06-04	167.11
2014-06-05	166.99
2014-06-06	167.55
2014-06-07	167.11
2014-06-08	167.05
2014-06-09	167.11
2014-06-10	166.99
2014-06-11	166.8
2014-06-12	166.8
2014-06-13	166.41
2014-06-14	166.25
2014-06-15	166.25
2014-06-16	166.25
2014-06-17	166.55
2014-06-18	166.25
2014-06-19	163.87
2014-06-20	163.37
2014-06-21	164.66
2014-06-22	164.32
2014-06-23	164.32
2014-06-25	164.66
2014-06-26	163.36
2014-06-27	164.16
2014-06-28	164.0
2014-06-29	163.36
2014-06-30	164.49
2014-07-01	161.92
2014-07-02	161.55
2014-07-03	162.16
2014-07-04	163.36
2014-07-05	164.32
2014-07-06	164.32
2014-07-07	161.92
2014-07-08	163.61
2014-07-09	163.61
2014-07-11	162.07
2014-07-12	161.92
2014-07-13	163.16
2014-07-14	163.16
2014-07-15	163.58
2014-07-16	163.11
2014-07-17	161.83
2014-07-19	161.47
2014-07-20	161.34
2014-07-21	161.83
2014-07-22	161.65
2014-07-23	161.65
2014-07-24	161.5
2014-07-25	161.97
2014-07-26	161.67
2014-07-27	161.49
2014-07-28	161.08
2014-07-29	161.47
2014-07-30	159.99
2014-07-31	159.97
2014-08-01	159.97
2014-08-02	159.95
2014-08-03	159.97
2014-08-04	159.97
2014-08-05	159.99
2014-08-06	159.95
2014-08-07	159.99
2014-08-08	159.99
2014-08-09	159.99
2014-08-10	159.99
2014-08-11	159.97
2014-08-12	157.49
2014-08-13	157.49
2014-08-14	156.72
2014-08-15	156.39
2014-08-16	157.0
2014-08-17	156.86
2014-08-18	157.0
2014-08-19	156.86
2014-08-20	157.49
2014-08-21	157.55
2014-08-22	157.25
2014-08-23	157.25
2014-08-24	157.25
2014-08-25	156.86
2014-08-26	156.44
2014-08-27	156.18
2014-08-28	154.27
2014-08-29	153.54
2014-08-30	154.27
2014-08-31	153.54
2014-09-01	153.65
2014-09-02	153.79
2014-09-03	153.44
2014-09-04	151.63
2014-09-05	154.46
2014-09-06	153.79
2014-09-07	155.0
2014-09-08	155.0
2014-09-09	155.99
2014-09-10	155.0
2014-09-11	156.99
2014-09-12	157.15
2014-09-13	157.05
2014-09-14	156.65
2014-09-15	155.0
2014-09-16	154.46
2014-09-17	150.69
2014-09-18	155.0
2014-09-19	155.0
2014-09-20	153.73
2014-09-21	150.91
2014-09-22	151.38
2014-09-23	152.37
2014-09-24	151.44
